availability,channel_discovered,duration,kind,search_query,tested_seconds,title,title_discovered,url,video_id,yt_dlp_error,yt_dlp_ok
,English Singsing,,kids,phonics for children,7.65,,English Phonics Story | A to Z for Children | Collection of Kindergarten Story,https://www.youtube.com/watch?v=mO2tQvrqYHk,mO2tQvrqYHk,ERROR: [youtube] mO2tQvrqYHk: This video is not available,False
,Kids Academy,,kids,phonics for children,7.25,,Learn to Read | Phonics for Kids | ELA Lessons for Kindergarten & Grade 1 | Kids Academy,https://www.youtube.com/watch?v=g0ghV1JoSig,g0ghV1JoSig,ERROR: [youtube] g0ghV1JoSig: This video is not available,False
,Alphablocks,,kids,phonics for children,7.36,,Awesome Alphabet | Phonics for Kids - Learn To Read | Alphablocks,https://www.youtube.com/watch?v=s7LjGDcXqcs,s7LjGDcXqcs,ERROR: [youtube] s7LjGDcXqcs: This video is not available,False
,The Singing Walrus - English Songs For Kids,,kids,phonics for children,7.06,,ABC Phonics Song | The Singing Walrus,https://www.youtube.com/watch?v=bNg-ZQligKQ,bNg-ZQligKQ,ERROR: [youtube] bNg-ZQligKQ: This video is not available,False
,Gracie's Corner,,kids,phonics for children,7.17,,Phonics Song | Letter Sounds by Gracie’s Corner | Nursery Rhymes + Kids Songs,https://www.youtube.com/watch?v=ptk68qC1woI,ptk68qC1woI,ERROR: [youtube] ptk68qC1woI: This video is not available,False
,Fat Cat Books English with Mike ,,kids,phonics for children,8.09,,"3 letter words phonics sound,Learn to read,at word family,first word,CVC,letters,#kidslearning,#kids",https://www.youtube.com/watch?v=uw1G9Un997Y,uw1G9Un997Y,ERROR: [youtube] uw1G9Un997Y: This video is not available,False
,kids hub,,kids,phonics for children,7.65,,Jolly Phonics with Actions | Learn Phonics Sounds A–Z | Phonics Reading,https://www.youtube.com/watch?v=oBqFarfe1RI,oBqFarfe1RI,ERROR: [youtube] oBqFarfe1RI: This video is not available,False
,Gracie's Corner,,kids,phonics for children,7.97,,Phonics Song 2 (Pure Letter Sounds) | Learning with Gracie’s Corner | Kids Songs + Nursery Rhymes,https://www.youtube.com/watch?v=1b_-7PtpjUY,1b_-7PtpjUY,ERROR: [youtube] 1b_-7PtpjUY: This video is not available,False
,Little Hues - Dancing Fruit Baby Sensory,,kids,phonics for children,7.33,,ABC Phonics Song | A for Apple | A to Z Nursery Rhymes | Baby Sensory Video for Visual Stimulation,https://www.youtube.com/watch?v=4yHYMl9QLBc,4yHYMl9QLBc,ERROR: [youtube] 4yHYMl9QLBc: This video is not available,False
,Homeschool Pop,,kids,phonics for children,7.15,,Phonics for Kids | Letter Sounds A–Z,https://www.youtube.com/watch?v=3HmR8whNJm4,3HmR8whNJm4,ERROR: [youtube] 3HmR8whNJm4: This video is not available,False
,Netflix Jr.,,kids,phonics for children,7.2,,Sing the Phonics Song with Ms. Rachel & Friends! 🎵 Ms. Rachel | Netflix Jr,https://www.youtube.com/watch?v=slD01a3_SMQ,slD01a3_SMQ,ERROR: [youtube] slD01a3_SMQ: This video is not available,False
,Cocomelon - Nursery Rhymes,,kids,phonics for children,7.23,,ABC Phonics Song | CoComelon Nursery Rhymes & Kids Songs,https://www.youtube.com/watch?v=wSSlwtED2Yg,wSSlwtED2Yg,ERROR: [youtube] wSSlwtED2Yg: This video is not available,False
,Kids Channel Preschool Nursery Rhymes,,kids,phonics for children,6.66,,Phonics Song | Alphabets Sound For Babies | Nursery Rhymes and Songs For Children | Learning Videos,https://www.youtube.com/watch?v=ehGj4TFYknw,ehGj4TFYknw,ERROR: [youtube] ehGj4TFYknw: This video is not available,False
,Have Fun Teaching,,kids,phonics for children,7.14,,Alphabet Song | ABC Song | Phonics Song,https://www.youtube.com/watch?v=36IBDpTRVNE,36IBDpTRVNE,ERROR: [youtube] 36IBDpTRVNE: This video is not available,False
,Alphablocks,,kids,phonics for children,6.68,,One Syllable Words | Phonics for Kids - Learn To Read | Alphablocks,https://www.youtube.com/watch?v=VxBEmaaSh1c,VxBEmaaSh1c,ERROR: [youtube] VxBEmaaSh1c: This video is not available,False
,ChuChu TV Nursery Rhymes & Kids Songs,,kids,phonics for children,6.34,,Phonics Song with TWO Words - A For Apple - ABC Alphabet Songs with Sounds for Children,https://www.youtube.com/watch?v=hq3yfQnllfQ,hq3yfQnllfQ,ERROR: [youtube] hq3yfQnllfQ: This video is not available,False
,Mrs Honey - Learning Videos,481,kids,phonics for children,7.73,Digraphs with Examples | learning Phonics | English lesson | Adult Phonics,Digraphs with Examples | learning Phonics | English lesson | Adult Phonics,https://www.youtube.com/watch?v=rn_ZB2tE8l4,rn_ZB2tE8l4,,True
,Rock 'N Learn,,kids,phonics for children,7.02,,ABC Phonics Song with Sounds for Children - Alphabet Song with Two Words for Each Letter,https://www.youtube.com/watch?v=tKsIi1MH4lw,tKsIi1MH4lw,ERROR: [youtube] tKsIi1MH4lw: This video is not available,False
,Super Simple ABCs,,kids,phonics for children,7.24,,ABC Quack | Super Simple ABCs | Kids Alphabet Songs,https://www.youtube.com/watch?v=I_3mbra4dHU,I_3mbra4dHU,ERROR: [youtube] I_3mbra4dHU: This video is not available,False
,Gracie's Corner,,kids,phonics for children,7.35,,"Phonics, Counting, Colors + More Kids Learning Songs & Nursery Rhymes | Gracie’s Corner Compilation",https://www.youtube.com/watch?v=g6CVApMxmqg,g6CVApMxmqg,ERROR: [youtube] g6CVApMxmqg: This video is not available,False
,Scratch Garden,,kids,phonics for children,7.09,,Digraphs! | Top Ten English Digraphs | Phonics are Fun!,https://www.youtube.com/watch?v=3BB6Xx6Pw6o,3BB6Xx6Pw6o,ERROR: [youtube] 3BB6Xx6Pw6o: This video is not available,False
,Cocomelon - Nursery Rhymes,,kids,phonics for children,7.12,,ABC SONG | ABC Songs for Children - 13 Alphabet Songs & 26 Videos,https://www.youtube.com/watch?v=_UR-l3QI2nE,_UR-l3QI2nE,ERROR: [youtube] _UR-l3QI2nE: This video is not available,False
,KidsTV123,,kids,phonics for children,7.53,,Phonics Song 2,https://www.youtube.com/watch?v=BELlZKpi1Zs,BELlZKpi1Zs,ERROR: [youtube] BELlZKpi1Zs: This video is not available,False
,Jack Hartmann Kids Music Channel,,kids,phonics for children,7.39,,"See It, Say It, Sign It | Letter Sounds | ASL Alphabet | Jack Hartmann",https://www.youtube.com/watch?v=WP1blVh1ZQM,WP1blVh1ZQM,ERROR: [youtube] WP1blVh1ZQM: This video is not available,False
,Little Fox - Kids Stories and Songs,,kids,phonics for children,7.21,,"Word Families 1 |  -at, -am, -an, -ad  | Phonics CVC Words for Kindergarten",https://www.youtube.com/watch?v=uVeEAFy1z68,uVeEAFy1z68,ERROR: [youtube] uVeEAFy1z68: This video is not available,False
,Bounce Patrol - Kids Songs,,kids,phonics for children,7.58,,"""Alphabet Transport"" - ABC Transportation Song for Kids | Learn Vehicles, Phonics and Alphabet ABCs",https://www.youtube.com/watch?v=zWss7p8DjVU,zWss7p8DjVU,ERROR: [youtube] zWss7p8DjVU: This video is not available,False
,Bounce Patrol - Kids Songs,,kids,phonics for children,7.8,,Animal Phonics Song 🐊 Learn the ABCs - Kids Alphabet Songs,https://www.youtube.com/watch?v=AEKIV5JG3HQ,AEKIV5JG3HQ,ERROR: [youtube] AEKIV5JG3HQ: This video is not available,False
,Super Quack - ABC Songs,,kids,phonics for children,7.23,,"ABC Song Phonics - Toddler Learning Video , A for Apple , Nursery Rhymes , Alphabet song , ABC TV",https://www.youtube.com/watch?v=6Ad5LRNekX0,6Ad5LRNekX0,ERROR: [youtube] 6Ad5LRNekX0: This video is not available,False
,Super Simple ABCs,,kids,phonics for children,7.2,,ABC Songs | Phonics Songs | Lowercase | ​​🌈 Super Simple ABCs,https://www.youtube.com/watch?v=EVTB8xIHWU0,EVTB8xIHWU0,ERROR: [youtube] EVTB8xIHWU0: This video is not available,False
,Alphablocks,,kids,phonics for children,7.99,,"Phonics - Learn to Read | Letters S, T, U | Alphablocks",https://www.youtube.com/watch?v=wSYGM1envlI,wSYGM1envlI,ERROR: [youtube] wSYGM1envlI: This video is not available,False
,ChuChu TV Nursery Rhymes & Kids Songs,,kids,phonics for children,7.93,,Phonics Song with Two Words + More ChuChu TV Nursery Rhymes & Toddler Videos - Two Hours Collection,https://www.youtube.com/watch?v=dkvvkaPzm7w,dkvvkaPzm7w,ERROR: [youtube] dkvvkaPzm7w: This video is not available,False
,Ms Rachel - Toddler Learning Videos,,kids,phonics for children,7.55,,Phonics Song + More Kids Songs & Nursery Rhymes - Learn Letter Sounds - Videos for Kids - Ms Rachel,https://www.youtube.com/watch?v=1v3Dk41C_10,1v3Dk41C_10,ERROR: [youtube] 1v3Dk41C_10: This video is not available,False
,Patty Shukla Kids TV - Children's songs,,kids,phonics for children,7.81,,Learn Phonics Song for Children (Official Video) Alphabet Song | Letter Sounds | Signing for babies,https://www.youtube.com/watch?v=R2frjzrC5Jg,R2frjzrC5Jg,ERROR: [youtube] R2frjzrC5Jg: This video is not available,False
,Bounce Patrol - Kids Songs,,kids,phonics for children,7.33,,"""Alphabet Animals"" - ABC Animals Song for Kids | Learn animals, phonics and the alphabet",https://www.youtube.com/watch?v=_Wp0vZnR_FM,_Wp0vZnR_FM,ERROR: [youtube] _Wp0vZnR_FM: This video is not available,False
,Cocobi Colors - Play & Learn,,kids,phonics for children,6.61,,Learn Alphabets with Cars! + More ABC Songs for Kids | Cocobi,https://www.youtube.com/watch?v=YwRCjhDsZ-o,YwRCjhDsZ-o,ERROR: [youtube] YwRCjhDsZ-o: This video is not available,False
,Peppa Pig - Nursery Rhymes and Kids Songs,,kids,phonics for children,6.81,,ABC Phonics Song | Letter Sounds with Peppa Pig | ABC Phonics Song for Children | Kids Songs,https://www.youtube.com/watch?v=50SqWU6yEK0,50SqWU6yEK0,ERROR: [youtube] 50SqWU6yEK0: This video is not available,False
,Kiddos World TV,,kids,phonics for children,6.7,,Learn to Read - 3-Letter Word - Letter Sound - Phonics for Kids,https://www.youtube.com/watch?v=jiEv6VTDt5c,jiEv6VTDt5c,ERROR: [youtube] jiEv6VTDt5c: This video is not available,False
,Mr. Bricks,,kids,lego kids,6.9,,I Built LEGO Gadgets for My Dog,https://www.youtube.com/watch?v=M0rpigx0At0,M0rpigx0At0,ERROR: [youtube] M0rpigx0At0: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies,False
,Little Marvel Kids,,kids,phonics for children,7.02,,A to Z Phonics Sounds for Toddlers | Phonics Song | ABC Song | Kindergarten Learning Song,https://www.youtube.com/watch?v=QAJT_yU_W3U,QAJT_yU_W3U,ERROR: [youtube] QAJT_yU_W3U: This video is not available,False
,Numberblocks,,kids,math for kids,6.88,,Addition! | Level 1 | Numberblocks,https://www.youtube.com/watch?v=G0Di8DP9f8w,G0Di8DP9f8w,ERROR: [youtube] G0Di8DP9f8w: This video is not available,False
,Numberblocks,,kids,math for kids,6.86,,Colourful Math For Kids! | Numberblocks 1 Hour Compilation | 123 - Numbers Cartoon For Kids,https://www.youtube.com/watch?v=6r3Eqtl3nDM,6r3Eqtl3nDM,ERROR: [youtube] 6r3Eqtl3nDM: This video is not available,False
,Quiz Kognito,,kids,math for kids,6.74,,Grade 1 Math Quiz | Fun Addition Practice for Kids ➕ Can You Solve These?,https://www.youtube.com/watch?v=ELou1ddUVns,ELou1ddUVns,ERROR: [youtube] ELou1ddUVns: This video is not available,False
,Numberblocks,,kids,math for kids,6.43,,Exciting football highlights | Learn to count | 30 mins of Maths for Kids | @Numberblocks,https://www.youtube.com/watch?v=7c51zFHrjec,7c51zFHrjec,ERROR: [youtube] 7c51zFHrjec: This video is not available,False
,Brain Candy TV,,kids,math for kids,6.97,,Learn Math for Kids | Adding with Monster Trucks by Brain Candy TV,https://www.youtube.com/watch?v=XPFSLhUHSX4,XPFSLhUHSX4,ERROR: [youtube] XPFSLhUHSX4: This video is not available,False
,Toddler Learning Videos For Kids - Lucas & Friends,,kids,math for kids,7.21,,Maths Kids By RV AppStudios [English],https://www.youtube.com/watch?v=pqLDVLf5vgU,pqLDVLf5vgU,ERROR: [youtube] pqLDVLf5vgU: This video is not available,False
,Numberblocks,,kids,math for kids,7.18,,First Grade Math Compilation ➕ | Counting for Kids | 1 Hour of Full Episodes | @Numberblocks,https://www.youtube.com/watch?v=jSL5WNcTtUs,jSL5WNcTtUs,ERROR: [youtube] jSL5WNcTtUs: This video is not available,False
,Numberblocks,,kids,math for kids,6.81,,Numberblocks Kindergarten Math Fun! | 1 Hour Compilation | 123 - Numbers Cartoon For Kids,https://www.youtube.com/watch?v=RFsRnR9fbf8,RFsRnR9fbf8,ERROR: [youtube] RFsRnR9fbf8: This video is not available,False
,Smile and Learn - English,,kids,math for kids,7.3,,Subtraction for kids - Learn how to subtract - Mathematics for kids -,https://www.youtube.com/watch?v=qM7B2nwpV1M,qM7B2nwpV1M,ERROR: [youtube] qM7B2nwpV1M: This video is not available,False
,Brain Candy TV,,kids,math for kids,7.12,,Learn Math for Kids | Subtracting with Monster Trucks by Brain Candy TV,https://www.youtube.com/watch?v=t6eqTn9Sapg,t6eqTn9Sapg,ERROR: [youtube] t6eqTn9Sapg: This video is not available,False
,Preschool Prep Company,,kids,math for kids,8.0,,Meet the Math Facts - Addition & Subtraction Level 2 (FREE) | Preschool Prep Company,https://www.youtube.com/watch?v=1SmwBwhvbFk,1SmwBwhvbFk,ERROR: [youtube] 1SmwBwhvbFk: This video is not available,False
,Maths About You,,kids,math for kids,7.43,,Addition by Counting on - Grade 1,https://www.youtube.com/watch?v=VScM8Z8Jls0,VScM8Z8Jls0,ERROR: [youtube] VScM8Z8Jls0: This video is not available,False
,Preschool Prep Company,,kids,math for kids,8.15,,Meet the Math Facts - Addition & Subtraction Level 3 (FREE) | Preschool Prep Company,https://www.youtube.com/watch?v=k9ZT2YWkLBI,k9ZT2YWkLBI,ERROR: [youtube] k9ZT2YWkLBI: This video is not available,False
,Quiz Blitz,,kids,math for kids,7.7,,"Can You Pass This Maths Quiz...? ➗✖️🧠 | Easy, Medium, Hard, Impossible | Quiz Blitz",https://www.youtube.com/watch?v=Calc3x13m-M,Calc3x13m-M,ERROR: [youtube] Calc3x13m-M: This video is not available,False
,Kids Math,,kids,math for kids,8.06,,20 Addition Quiz Exercises for Kids,https://www.youtube.com/watch?v=-XmuErIQe_o,-XmuErIQe_o,ERROR: [youtube] -XmuErIQe_o: This video is not available,False
,Quinn's Playhouse - Kids Learning Videos,,kids,math for kids,8.2,,"Best Learning Numbers, Shapes & Counting 1 - 10! Preschool Toddler Learning Toy Video",https://www.youtube.com/watch?v=7yDDSornHow,7yDDSornHow,ERROR: [youtube] 7yDDSornHow: This video is not available,False
,Smile and Learn - English,,kids,math for kids,7.91,,Addition for kids - Mathematics for kids with dinosaurs - Exercises,https://www.youtube.com/watch?v=pIcxGD0cZQw,pIcxGD0cZQw,ERROR: [youtube] pIcxGD0cZQw: This video is not available,False
,Blippi Playtime,,kids,math for kids,6.72,,Learn Maths With Blippi | Numbers and Counting For Kids | Educational Videos For Children,https://www.youtube.com/watch?v=dh1fqv8uiVY,dh1fqv8uiVY,ERROR: [youtube] dh1fqv8uiVY: This video is not available,False
,Kids Academy,,kids,math for kids,7.46,,Learn Addition up to 10 | Addition 1 to 9 | Math for Kindergarten & 1st Grade | Kids Academy,https://www.youtube.com/watch?v=tVHOBVAFjUw,tVHOBVAFjUw,ERROR: [youtube] tVHOBVAFjUw: This video is not available,False
,Baby Shark Classroom - Learning for Kids,,kids,math for kids,7.27,,Simple Counting for Kids! | 1+1=? | Learn Math Fun with Songs | 15-Minute Learning with Baby Shark,https://www.youtube.com/watch?v=6o1xJ5Sgavw,6o1xJ5Sgavw,ERROR: [youtube] 6o1xJ5Sgavw: This video is not available,False
,Danny Go!,,kids,math for kids,7.23,,"""Math Whiz!"" Addition Song  /// Danny Go! Kids Learning Songs for Kindergarten",https://www.youtube.com/watch?v=iLXNBiGJAGs,iLXNBiGJAGs,ERROR: [youtube] iLXNBiGJAGs: This video is not available,False
,educational corner,,kids,math for kids,7.62,,Big Numbers True or False Math Quiz for Kids | Educational Corner,https://www.youtube.com/watch?v=XUujjkC9mwA,XUujjkC9mwA,ERROR: [youtube] XUujjkC9mwA: This video is not available,False
,Noodle Kidz,,kids,math for kids,7.23,,Basic Math Addition For Kids | Noodle Kidz Pre-K and Kindergarten Educational Video,https://www.youtube.com/watch?v=mjlsSYLLOSE,mjlsSYLLOSE,ERROR: [youtube] mjlsSYLLOSE: This video is not available,False
,Scratch Garden,,kids,math for kids,7.03,,Social Emotional Learning in Math! | Mini Math Movies | Scratch Garden,https://www.youtube.com/watch?v=yIx1DplJMB4,yIx1DplJMB4,ERROR: [youtube] yIx1DplJMB4: This video is not available,False
,Scratch Garden,,kids,math for kids,7.22,,Counting! | Mini Math Movies | Scratch Garden,https://www.youtube.com/watch?v=mKSNQuQrsm0,mKSNQuQrsm0,ERROR: [youtube] mKSNQuQrsm0: This video is not available,False
,Preschool Prep Company,,kids,math for kids,6.76,,Meet the Math Facts - Addition & Subtraction Level 1 (FREE) | Preschool Prep Company,https://www.youtube.com/watch?v=8cR_1Qi-tP4,8cR_1Qi-tP4,ERROR: [youtube] 8cR_1Qi-tP4: This video is not available,False
,Numberblocks,,kids,math for kids,6.87,,Second Grade Math made fun! | Division compilation | 123 - Learn to Count | Numberblocks,https://www.youtube.com/watch?v=xJ5w5WQBhO0,xJ5w5WQBhO0,ERROR: [youtube] xJ5w5WQBhO0: This video is not available,False
,Numberblocks,,kids,math for kids,7.1,,Colourful Math | Full Episodes | Learn to Count - @Numberblocks,https://www.youtube.com/watch?v=mRjKu4QwrE4,mRjKu4QwrE4,ERROR: [youtube] mRjKu4QwrE4: This video is not available,False
,Brain Candy TV,,kids,math for kids,6.52,,Learn Multiplication with Dump Trucks | Math Video for Kids by Brain Candy TV,https://www.youtube.com/watch?v=OZYOhb98GWU,OZYOhb98GWU,ERROR: [youtube] OZYOhb98GWU: This video is not available,False
,The Fixies,,kids,math for kids,8.17,,Multiplication 𝐗 | The Fixies | Animation for Kids | #Math,https://www.youtube.com/watch?v=_zvGmj5_nQI,_zvGmj5_nQI,ERROR: [youtube] _zvGmj5_nQI: This video is not available,False
,Brain Candy TV,,kids,math for kids,7.24,,Math for Kids - Vehicle Bowling | Crash Course Math Ep 3 by Brain Candy TV,https://www.youtube.com/watch?v=lji1yIKToj4,lji1yIKToj4,ERROR: [youtube] lji1yIKToj4: This video is not available,False
,Numberblocks,,kids,math for kids,7.15,,🔢 Addition Special Level 5 🧮  | 30 minute Compilation | Numbers Cartoon for Kids | @Numberblocks,https://www.youtube.com/watch?v=XI6vDDO0-j4,XI6vDDO0-j4,ERROR: [youtube] XI6vDDO0-j4: This video is not available,False
,Homeschool Pop,,kids,math for kids,6.99,,Fractions for Kids – Full Lesson | Homeschool Pop Math,https://www.youtube.com/watch?v=5arM5wpCNUo,5arM5wpCNUo,ERROR: [youtube] 5arM5wpCNUo: This video is not available,False
,Seendal Kids,,kids,math for kids,7.82,,Learn to Add! 🌟 Easy Math's Addition for Kindergarten Students | Counting & Math Fun for Kids,https://www.youtube.com/watch?v=QPN479b95dI,QPN479b95dI,ERROR: [youtube] QPN479b95dI: This video is not available,False
,Numberblocks,,kids,math for kids,8.2,,36 minutes of the BIGGEST @Numberblocks Ever! | Maths for Kids,https://www.youtube.com/watch?v=nS6K8bBQagk,nS6K8bBQagk,ERROR: [youtube] nS6K8bBQagk: This video is not available,False
,Super Simple Songs - Kids Songs,,kids,math for kids,7.48,,Our Favorite Numbers Songs | Kids Songs | Super Simple Songs,https://www.youtube.com/watch?v=V_lgJgBbqWE,V_lgJgBbqWE,ERROR: [youtube] V_lgJgBbqWE: This video is not available,False
,TED,,kids,math for kids,7.66,,4 Steps to Unlock Your Kid's Math Potential | Shalinee Sharma | TED,https://www.youtube.com/watch?v=hg_xzFJ4ZAA,hg_xzFJ4ZAA,ERROR: [youtube] hg_xzFJ4ZAA: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies,False
,Numberblocks,,kids,math for kids,7.58,,Learn Addition and Subtraction Level 1 | Learn to Count | Maths Cartoons for Kids | Numberblocks,https://www.youtube.com/watch?v=ebQX7uQ6Zak,ebQX7uQ6Zak,ERROR: [youtube] ebQX7uQ6Zak: This video is not available,False
,WhizKids!,,kids,math for kids,7.1,,"Learn and Practice math Addition (plus) using fingers, for Kindergarten and Grade 1 kids",https://www.youtube.com/watch?v=OjviXeDf1ms,OjviXeDf1ms,ERROR: [youtube] OjviXeDf1ms: This video is not available,False
,Smile and Learn - English,,kids,math for kids,7.47,,Addition and Subtraction with Dinosaurs - Math for Kids - Math Operations,https://www.youtube.com/watch?v=igcoDFokKzU,igcoDFokKzU,ERROR: [youtube] igcoDFokKzU: This video is not available,False
,Homeschool Pop,,kids,math for kids,7.17,,Multiplication for Kids – Full Math Lesson | Homeschool Pop,https://www.youtube.com/watch?v=TKAhQ-9BQnw,TKAhQ-9BQnw,ERROR: [youtube] TKAhQ-9BQnw: This video is not available,False
,Numberblocks,,kids,math for kids,6.88,,Number Songs | Maths for Kids | Learn to Count | @Numberblocks,https://www.youtube.com/watch?v=mFpJyFphQps,mFpJyFphQps,ERROR: [youtube] mFpJyFphQps: This video is not available,False
,Jack Hartmann Kids Music Channel,,kids,math for kids,7.62,,Making Math Fun! | 30 Minutes of Fun Math Songs for Kids | Jack Hartmann,https://www.youtube.com/watch?v=epMLaI7TT38,epMLaI7TT38,ERROR: [youtube] epMLaI7TT38: This video is not available,False
,Scratch Garden,,kids,math for kids,7.13,,Adding & Subtracting! | Mini Math Movies | Scratch Garden,https://www.youtube.com/watch?v=7J1OkxuyLD0,7J1OkxuyLD0,ERROR: [youtube] 7J1OkxuyLD0: This video is not available,False
,AAtoons Kids,,kids,math for kids,6.89,,Counting Quiz for Kids | Quiz Time | Math Quiz for kids | Easy & Fun Math Quiz for Kids,https://www.youtube.com/watch?v=uE4Buhzs41Q,uE4Buhzs41Q,ERROR: [youtube] uE4Buhzs41Q: This video is not available,False
,Toys and Colors,,kids,math for kids,7.24,,Wendy Alex and Lyndon Learn Math & Numbers for the School Exam | Fun Kids Videos,https://www.youtube.com/watch?v=WcgV9qWE7qU,WcgV9qWE7qU,ERROR: [youtube] WcgV9qWE7qU: This video is not available,False
,AAtoons Kids,,kids,math for kids,7.29,,Math Quiz for Kids | One Digit Addition Quiz | Mental Math Quiz for Kids | Quiz Time,https://www.youtube.com/watch?v=ITOXb8K74is,ITOXb8K74is,ERROR: [youtube] ITOXb8K74is: This video is not available,False
,Scratch Garden,,kids,math for kids,6.99,,Fractions! | Mini Math Movies | Scratch Garden,https://www.youtube.com/watch?v=362JVVvgYPE,362JVVvgYPE,ERROR: [youtube] 362JVVvgYPE: This video is not available,False
,Numberblocks,,kids,math for kids,7.14,,Learn multiplication | 30 Minutes of Multiplication! | Maths for Kids | @Numberblocks,https://www.youtube.com/watch?v=pEbjmAsrOic,pEbjmAsrOic,ERROR: [youtube] pEbjmAsrOic: This video is not available,False
,Numberblocks,,kids,math for kids,6.84,,Fun First Grade Math 📐 | Counting for Kids | 12345 | @Numberblocks,https://www.youtube.com/watch?v=1ZDcByAHKt8,1ZDcByAHKt8,ERROR: [youtube] 1ZDcByAHKt8: This video is not available,False
,Brick Science,,kids,lego kids,7.0,,I Built the Pyramids in LEGO!,https://www.youtube.com/watch?v=P5Qfshfjer0,P5Qfshfjer0,ERROR: [youtube] P5Qfshfjer0: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies,False
,Alexander Studios,,kids,lego kids,6.63,,Lego Theme Park,https://www.youtube.com/watch?v=cMtPJz3UkCA,cMtPJz3UkCA,ERROR: [youtube] cMtPJz3UkCA: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies,False
,Lego Cooking,,kids,lego kids,7.32,,LEGO Rainbow Ice Cream 🍦🌈 Perfect Dessert Recipe,https://www.youtube.com/watch?v=QkmYpk5LRCA,QkmYpk5LRCA,ERROR: [youtube] QkmYpk5LRCA: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies,False
,TD BRICKS,,kids,lego kids,6.96,,KID vs ADULT LEGO builder...,https://www.youtube.com/watch?v=O9m-syPz8kE,O9m-syPz8kE,ERROR: [youtube] O9m-syPz8kE: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies,False
,ToysMyToys,,kids,lego kids,7.46,,Policeman builds a Super Car - Lego City,https://www.youtube.com/watch?v=1F3VKfcW6gk,1F3VKfcW6gk,ERROR: [youtube] 1F3VKfcW6gk: This video is not available,False
,TD BRICKS,,kids,lego kids,7.29,,POPULAR TECH in LEGO...,https://www.youtube.com/watch?v=6-66RDslFuk,6-66RDslFuk,ERROR: [youtube] 6-66RDslFuk: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies,False
,Ms Rachel - Toddler Learning Videos,,kids,preschool learning,6.93,,"Preschool Learning, Activities, and Songs - Learn at Home with Ms Rachel - Educational Videos",https://www.youtube.com/watch?v=icUL7bjce8c,icUL7bjce8c,ERROR: [youtube] icUL7bjce8c: This video is not available,False
,Brickcraft Studio,,kids,lego kids,7.64,,Unboxing Lego Extra SLIDE Secret Box at 3am - Slide Creature Hunting,https://www.youtube.com/watch?v=M5a7n_MLL_Y,M5a7n_MLL_Y,ERROR: [youtube] M5a7n_MLL_Y: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies,False
,ELF Kids Videos,,kids,preschool learning,7.26,,Learn Colors - Preschool Chant - Colors Song for Preschool by ELF Learning - ELF Kids Videos,https://www.youtube.com/watch?v=qhOTU8_1Af4,qhOTU8_1Af4,ERROR: [youtube] qhOTU8_1Af4: This video is not available,False
